unknown	NC_002163.1	100.000	50000	0	0	1	50000	1	50000	0.0	92333	192222
unknown	NC_002163.1	99.984	6101	1	0	38773	44873	695948	702048	0.0	11261	192222
unknown	NC_002163.1	100.000	6071	0	0	38795	44865	393676	399746	0.0	11212	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	500001	550000	0.0	92333	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	550001	600000	0.0	92333	192222
unknown	NC_002163.1	99.959	2420	1	0	38981	41400	1598050	1600469	0.0	4464	192222
unknown	NC_002163.1	76.111	360	63	22	37699	38048	1596842	1597188	1.83e-35	167	192222
unknown	NC_002163.1	75.342	146	35	1	27013	27157	1236763	1236618	5.31e-06	69.4	192222
unknown	NC_002163.1	75.188	133	33	0	27025	27157	1235511	1235379	2.47e-04	63.9	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	600001	650000	0.0	92333	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	650001	700000	0.0	92333	192222
unknown	NC_002163.1	99.975	4053	1	0	45948	50000	38773	42825	0.0	7480	192222
unknown	NC_002163.1	100.000	4031	0	0	45970	50000	393676	397706	0.0	7444	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	700001	750000	0.0	92333	192222
unknown	NC_002163.1	100.000	2048	0	0	1	2048	42826	44873	0.0	3783	192222
unknown	NC_002163.1	99.661	2065	3	4	1	2063	397707	399769	0.0	3771	192222
unknown	NC_002163.1	91.760	716	46	10	44394	45104	765203	765910	0.0	983	192222
unknown	NC_002163.1	97.531	81	2	0	45323	45403	766156	766236	3.99e-27	139	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	750001	800000	0.0	92333	192222
unknown	NC_002163.1	91.760	716	46	10	15203	15910	744394	745104	0.0	983	192222
unknown	NC_002163.1	97.531	81	2	0	16156	16236	745323	745403	3.99e-27	139	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	800001	850000	0.0	92333	192222
unknown	NC_002163.1	98.780	82	1	0	26158	26239	1549652	1549733	2.38e-29	147	192222
unknown	NC_002163.1	76.301	173	35	5	14095	14264	811101	811270	1.46e-11	87.9	192222
unknown	NC_002163.1	76.301	173	35	5	11101	11270	814095	814264	1.46e-11	87.9	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	850001	900000	0.0	92333	192222
unknown	NC_002163.1	99.048	210	2	0	28475	28684	878090	878299	7.76e-99	377	192222
unknown	NC_002163.1	99.048	210	2	0	28090	28299	878475	878684	7.76e-99	377	192222
unknown	NC_002163.1	100.000	79	0	0	28689	28767	878398	878476	2.38e-29	147	192222
unknown	NC_002163.1	100.000	79	0	0	28398	28476	878689	878767	2.38e-29	147	192222
unknown	NC_002163.1	74.643	280	65	6	21287	21563	869940	870216	5.19e-21	119	192222
unknown	NC_002163.1	74.733	281	63	7	19940	20216	871287	871563	5.19e-21	119	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	900001	950000	0.0	92333	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	950001	1000000	0.0	92333	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	50001	100000	0.0	92333	192222
unknown	NC_002163.1	92.000	50	2	2	18496	18544	68544	68496	5.31e-06	69.4	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	1000001	1050000	0.0	92333	192222
unknown	NC_002163.1	70.920	337	90	8	40915	41247	476707	476375	4.10e-07	73.1	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	1050001	1100000	0.0	92333	192222
unknown	NC_002163.1	98.485	264	3	1	22461	22723	1070252	1070515	5.79e-125	464	192222
unknown	NC_002163.1	98.485	264	3	1	20252	20515	1072461	1072723	5.79e-125	464	192222
unknown	NC_002163.1	81.395	516	85	9	22462	22970	1379705	1379194	7.65e-109	411	192222
unknown	NC_002163.1	77.526	485	79	16	20253	20710	1379705	1379224	6.31e-65	265	192222
unknown	NC_002163.1	100.000	50000	0	0	1	50000	1100001	1150000	0.0	92333	192222
unknown	NC_002163.1	96.891	193	5	1	5589	5781	1105265	1105456	3.69e-82	322	192222
unknown	NC_002163.1	96.891	193	5	1	5265	5456	1105589	1105781	3.69e-82	322	192222
unknown	NC_002163.1	98.077	52	1	0	5749	5800	1105440	1105491	1.13e-12	91.6	192222
unknown	NC_002163.1	98.077	52	1	0	5440	5491	1105749	1105800	1.13e-12	91.6	192222
